order_id,user_id,restaurant_id,current_cart_items,candidate_addon_item,is_meal_complement,user_item_frequency,user_recent_diet_trend,addon_dietary_type,cart_dietary_type,delivery_distance_km,order_hour_of_day,addon_price,cart_value,item_rating,is_top_seller,target_added_to_cart
ORD10000,U1124,R536,Oatmeal Bowl,Chocolate Brownie,1,2,Healthy,Vegan,Veg,10.4,21,146.0,1132.0,,0,0
ORD10001,U1316,R508,Beef Burger,Filter Coffee,0,7,Junk,Veg,Non-Veg,14.5,21,181.0,252.0,4.7,0,0
ORD10002,U1151,R509,Paneer Butter Masala,Chocolate Brownie,1,2,Healthy,Vegan,Veg,3.6,7,250.0,216.0,3.3,1,1
ORD10003,U1147,R548,Oatmeal Bowl,Butter Naan,1,4,Junk,Non-Veg,Non-Veg,8.5,0,102.0,1281.0,4.0,1,0
ORD10004,U1121,R543,Masala Dosa,Mint Raita,1,6,Junk,Vegan,Vegan,9.2,22,226.0,811.0,,1,0
ORD10005,U1381,R550,Pasta Alfredo,Green Tea,0,3,Healthy,Veg,Vegan,15.0,23,108.0,1250.0,4.3,0,0
ORD10006,U1204,R511,Paneer Butter Masala,Butter Naan,1,1,Junk,Veg,Veg,3.4,8,179.0,572.0,4.4,1,0
ORD10007,U1485,R518,Paneer Butter Masala,Miso Soup,0,2,Junk,Non-Veg,Non-Veg,8.1,12,158.0,687.0,3.9,1,0
ORD10008,U1373,R535,Oatmeal Bowl,Miso Soup,0,1,Balanced,Veg,Veg,5.5,0,32.0,1095.0,3.0,0,0
ORD10009,U1076,R536,Margherita Pizza,Chocolate Brownie,1,0,,Non-Veg,Non-Veg,8.1,10,38.0,1386.0,4.3,0,1
ORD10010,U1039,R521,Masala Dosa,Extra Chutney,1,1,Healthy,Non-Veg,Non-Veg,3.9,10,25.0,268.0,4.3,0,0
ORD10011,U1172,R505,Oatmeal Bowl,Garlic Bread,1,4,Healthy,Veg,Vegan,1.2,10,105.0,1313.0,3.2,0,0
